Date,HS-VaR,AWHS-VaR
2008-02-21 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-22 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-25 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-26 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-27 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-28 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-02-29 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-03 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-04 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-05 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-06 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-07 00:00:00-05:00,-0.05702093383225881,-0.04435947564817011
2008-03-10 00:00:00-04:00,-0.05702093383225881,-0.04435947564817011
2008-03-11 00:00:00-04:00,-0.05702093383225881,-0.04435947564817011
2008-03-12 00:00:00-04:00,-0.05702093383225881,-0.04435947564817011
2008-03-13 00:00:00-04:00,-0.05702093383225881,-0.04435947564817011
2008-03-14 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-17 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-18 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-19 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-20 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-24 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-25 00:00:00-04:00,-0.05702093383225881,-0.04217682971735126
2008-03-26 00:00:00-04:00,-0.05702093383225881,-0.04233648125058298
2008-03-27 00:00:00-04:00,-0.05702093383225881,-0.04233648125058298
2008-03-28 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-03-31 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-01 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-02 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-03 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-04 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-07 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-08 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-09 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-04-10 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-11 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-14 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-15 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-16 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-17 00:00:00-04:00,-0.05294991952210282,-0.04217682971735126
2008-04-18 00:00:00-04:00,-0.05294991952210282,-0.042073040556455665
2008-04-21 00:00:00-04:00,-0.05294991952210282,-0.042073040556455665
2008-04-22 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-23 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-24 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-25 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-28 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-29 00:00:00-04:00,-0.05294991952210282,-0.041196735673043494
2008-04-30 00:00:00-04:00,-0.05294991952210282,-0.039670656603584376
2008-05-01 00:00:00-04:00,-0.05294991952210282,-0.03536395983699003
2008-05-02 00:00:00-04:00,-0.05294991952210282,-0.03536395983699003
2008-05-05 00:00:00-04:00,-0.05294991952210282,-0.03536395983699003
2008-05-06 00:00:00-04:00,-0.05294991952210282,-0.03536395983699003
2008-05-07 00:00:00-04:00,-0.05294991952210282,-0.033817497073877045
2008-05-08 00:00:00-04:00,-0.05294991952210282,-0.033817497073877045
2008-05-09 00:00:00-04:00,-0.05294991952210282,-0.033817497073877045
2008-05-12 00:00:00-04:00,-0.05294991952210282,-0.033817497073877045
2008-05-13 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-05-14 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-05-15 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-05-16 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-05-19 00:00:00-04:00,-0.05294991952210282,-0.03725644268120165
2008-05-20 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
2008-05-21 00:00:00-04:00,-0.05294991952210282,-0.04233648125058298
